class_name,support,simple_accuracy,ensemble_accuracy,delta_accuracy,simple_avg_confidence,ensemble_avg_confidence,delta_confidence,simple_avg_margin,ensemble_avg_margin,delta_margin
annual crop land,600,0.018333333333333333,0.68,0.6616666666666667,0.4537628173828125,0.36159322102864583,-0.09216959635416666,0.21034759521484375,0.1366510009765625,-0.07369659423828126
forest,600,0.11833333333333333,0.565,0.4466666666666666,0.3311041259765625,0.3781146240234375,0.04701049804687496,0.12392400105794271,0.20993082682291667,0.08600682576497395
river,500,0.198,0.372,0.174,0.447101806640625,0.442452392578125,-0.004649414062499968,0.22581724548339843,0.24681455993652343,0.020997314453125
residential area,600,0.81,0.94,0.1299999999999999,0.5684470621744792,0.7078837076822917,0.13943664550781254,0.38047012329101565,0.5561427052815755,0.17567258199055985
pasture land,400,0.0,0.12,0.12,0.5979129028320312,0.3576165771484375,-0.24029632568359377,0.34098220825195313,0.11068534851074219,-0.23029685974121095
industrial area,500,0.474,0.58,0.10599999999999998,0.5216357421875,0.60847216796875,0.08683642578125006,0.28541241455078126,0.35648846435546877,0.07107604980468751
sea or lake,600,0.815,0.9116666666666666,0.09666666666666668,0.38728739420572916,0.3292799886067708,-0.05800740559895834,0.18715179443359375,0.14957626342773436,-0.03757553100585939
highway or road,500,0.61,0.682,0.07200000000000006,0.59681201171875,0.597674072265625,0.0008620605468749876,0.40573319244384765,0.44528405380249025,0.03955086135864261
herbaceous vegetation,600,0.0033333333333333335,0.0,-0.0033333333333333335,0.3768587239583333,0.38998555501302085,0.013126831054687538,0.16301350911458334,0.21611501057942709,0.05310150146484374
permanent crop land,500,0.862,0.008,-0.854,0.523984375,0.400398193359375,-0.12358618164062496,0.2385562744140625,0.16939959716796876,-0.06915667724609373
