class_name,support,simple_accuracy,ensemble_accuracy,delta_accuracy,simple_avg_confidence,ensemble_avg_confidence,delta_confidence,simple_avg_margin,ensemble_avg_margin,delta_margin
annual crop land,600,0.018333333333333333,0.735,0.7166666666666667,0.4537628173828125,0.4030108642578125,-0.05075195312499997,0.21034759521484375,0.17834889729817707,-0.03199869791666668
forest,600,0.11833333333333333,0.5433333333333333,0.425,0.3311041259765625,0.37682210286458334,0.04571797688802082,0.12392400105794271,0.20717732747395834,0.08325332641601563
industrial area,500,0.474,0.736,0.262,0.5216357421875,0.61554541015625,0.09390966796875,0.28541241455078126,0.3903815155029297,0.10496910095214845
pasture land,400,0.0,0.175,0.175,0.5979129028320312,0.3616693115234375,-0.23624359130859374,0.34098220825195313,0.11617904663085937,-0.22480316162109376
highway or road,500,0.61,0.712,0.10199999999999998,0.59681201171875,0.634148681640625,0.03733666992187501,0.40573319244384765,0.49188228034973147,0.08614908790588383
residential area,600,0.81,0.8916666666666667,0.08166666666666667,0.5684470621744792,0.67445556640625,0.10600850423177088,0.38047012329101565,0.49545580546061196,0.11498568216959631
river,500,0.198,0.246,0.04799999999999999,0.447101806640625,0.409984130859375,-0.03711767578124997,0.22581724548339843,0.21832066345214843,-0.007496582031250004
herbaceous vegetation,600,0.0033333333333333335,0.0,-0.0033333333333333335,0.3768587239583333,0.39073323567708335,0.013874511718750038,0.16301350911458334,0.22002952575683593,0.05701601664225259
sea or lake,600,0.815,0.7033333333333334,-0.11166666666666658,0.38728739420572916,0.2630096435546875,-0.12427775065104169,0.18715179443359375,0.09132904052734375,-0.09582275390625
permanent crop land,500,0.862,0.016,-0.846,0.523984375,0.4214638671875,-0.10252050781249994,0.2385562744140625,0.2035526123046875,-0.035003662109375
